epoch,eval_candidate_count,policy,weighted_access_cost,hit_rate_percent,nvm_writes,migrations,decision_count,avg_decision_time_ms,delta_vs_best_baseline_percent,diagnostic_decisions,worse_than_lru,short_reuse_le_10,chosen_median,chosen_p25,chosen_p75,chosen_inf_count,lru_median,lru_p25,lru_p75,lru_inf_count,top_ranks,checkpoint
5,4,qmap,135741.0,96.763,49,3221,3221,2.4026588491114707,7.578975732695081,3221,2214,179,155.0,52.0,292.0,73,170.0,80.0,507.0,1815,"[(3, 2401), (1, 310), (0, 310), (2, 200)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_5.pth
5,8,qmap,147098.0,95.73,48,4254,4254,2.3752035170077197,16.579752413257463,4254,3357,149,120,56.0,286.0,73,171.5,50.0,570.5,2956,"[(7, 2678), (6, 606), (4, 235), (5, 187), (1, 173), (3, 141), (0, 124), (2, 110)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_5.pth
6,1,qmap,126178.0,97.634,52,2350,2350,2.387682494727221,0.0,2350,0,194,168,70.0,311.0,73,168,70.0,311.0,73,"[(0, 2350)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_6.pth
6,2,qmap,129643.0,97.319,52,2665,2665,2.415936019124837,2.7461205598440297,2665,1223,226,156.5,54.0,293.0,73,151.0,100.0,243.0,1133,"[(1, 1729), (0, 936)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_6.pth
6,4,qmap,135598.0,96.776,49,3208,3208,2.4254053533239817,7.465643773082471,3208,2157,178,155,51.0,293.0,73,160,79.0,418.0,1815,"[(3, 2398), (0, 319), (1, 289), (2, 202)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_6.pth
6,8,qmap,152872.0,95.204,46,4780,4780,2.3354620215868787,21.15582748181141,4780,3900,280,105,42.0,269.0,73,164.0,48.5,479.75,3498,"[(7, 3644), (4, 240), (6, 239), (1, 162), (5, 157), (3, 124), (2, 109), (0, 105)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_6.pth
7,1,qmap,126178.0,97.634,52,2350,2350,2.3545138204985476,0.0,2350,0,194,168,70.0,311.0,73,168,70.0,311.0,73,"[(0, 2350)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_7.pth
7,2,qmap,129621.0,97.321,52,2663,2663,2.513315505898966,2.728684873749782,2663,1234,230,157.0,54.0,293.0,73,150.0,96.0,238.75,1133,"[(1, 1756), (0, 907)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_7.pth
7,4,qmap,135520.0,96.782,47,3202,3202,2.3932586786750796,7.403826340566502,3202,2167,185,156,51.0,295.0,73,161,76.0,406.5,1815,"[(3, 2432), (1, 291), (0, 273), (2, 206)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_7.pth
7,8,qmap,147098.0,95.73,48,4254,4254,2.341251875167484,16.579752413257463,4254,3358,161,120,55.0,286.0,73,169,50.0,477.0,2949,"[(7, 2683), (6, 639), (4, 242), (5, 201), (1, 156), (3, 130), (0, 105), (2, 98)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_7.pth
8,1,qmap,126178.0,97.634,52,2350,2350,2.447506510553525,0.0,2350,0,194,168,70.0,311.0,73,168,70.0,311.0,73,"[(0, 2350)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_8.pth
8,2,qmap,129588.0,97.324,52,2660,2660,2.3794205461915836,2.7025313446084103,2660,1231,227,158,54.0,293.0,73,150,96.0,240.0,1131,"[(1, 1759), (0, 901)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_8.pth
8,4,qmap,135399.0,96.79299999999999,47,3191,3191,2.3955741736119123,7.307930067048138,3191,2131,180,155.0,51.0,293.75,73,157.0,67.0,364.5,1815,"[(3, 2417), (1, 296), (0, 269), (2, 209)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_8.pth
8,8,qmap,152882.0,95.202,44,4782,4782,2.3032344067730213,21.16375279367243,4782,3901,276,105,41.0,268.0,73,161.0,44.0,544.0,3498,"[(7, 3630), (6, 236), (4, 235), (5, 175), (1, 165), (3, 127), (2, 108), (0, 106)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_8.pth
9,1,qmap,126178.0,97.634,52,2350,2350,2.4404472182009447,0.0,2350,0,194,168,70.0,311.0,73,168,70.0,311.0,73,"[(0, 2350)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_9.pth
9,2,qmap,129566.0,97.32600000000001,52,2658,2658,2.433296547925129,2.6850956585141623,2658,1239,227,158,54.0,293.0,73,150.0,93.0,242.75,1132,"[(1, 1785), (0, 873)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_9.pth
9,4,qmap,135719.0,96.765,49,3219,3219,2.4213510245471297,7.561540046600833,3219,2250,185,154.5,51.0,292.75,73,171.0,78.0,621.0,1815,"[(3, 2454), (0, 289), (1, 252), (2, 224)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_9.pth
9,8,qmap,149919.0,95.473,47,4511,4511,2.3652421678241975,18.81548288925169,4511,3654,220,112.0,49.0,277.0,73,192,52.5,533.5,3220,"[(7, 3137), (6, 459), (4, 249), (5, 177), (1, 165), (3, 125), (0, 108), (2, 91)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_9.pth
10,1,qmap,126178.0,97.634,52,2350,2350,2.478427626787031,0.0,2350,0,194,168,70.0,311.0,73,168,70.0,311.0,73,"[(0, 2350)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_10.pth
10,2,qmap,129698.0,97.31400000000001,52,2670,2670,2.43607544050681,2.7897097750796496,2670,1276,228,158,54.0,292.0,73,150.0,97.75,243.25,1134,"[(1, 1862), (0, 808)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_10.pth
10,4,qmap,135559.0,96.77900000000001,48,3205,3205,2.4064591738530514,7.434735056824486,3205,2092,178,151.0,51.0,287.25,73,156.0,75.0,341.75,1815,"[(3, 2436), (0, 366), (1, 227), (2, 176)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_10.pth
10,8,qmap,150559.0,95.417,51,4567,4567,2.3387286647703993,19.322702848357082,4567,3669,240,110.0,48.0,274.0,73,157.5,44.0,453.25,3277,"[(7, 3288), (6, 409), (4, 237), (5, 156), (1, 145), (0, 116), (2, 109), (3, 107)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_10.pth
